target,height,shoe_size
0,160.0,40.0
0,171.0,39.0
0,174.0,39.0
0,176.0,40.0
1,195.0,46.0
0,157.0,37.0
0,160.0,38.0
0,178.0,39.0
0,168.0,38.0
1,171.0,41.0
0,165.0,39.0
1,175.0,44.0
0,163.0,38.0
0,158.0,37.0
0,159.0,38.0
1,183.0,44.0
0,155.0,37.0
0,172.0,39.0
0,164.0,39.0
0,158.0,35.0
0,174.0,37.0
0,164.0,37.0
0,168.0,38.0
0,168.0,38.0
0,163.0,37.0
0,160.0,37.0
1,183.0,46.0
0,161.0,38.0
0,162.0,36.0
0,165.0,37.0
0,164.0,36.0
0,161.0,37.0
0,163.0,39.0
0,169.0,40.0
0,171.0,39.0
0,163.0,38.0
0,159.0,36.0
0,180.0,42.0
0,168.0,38.0
0,170.0,38.0
0,168.0,38.0
1,180.0,42.0
1,183.0,44.0
0,170.0,40.0
0,172.0,39.0
0,163.0,38.0
0,168.0,38.0
0,184.0,41.0
0,169.0,38.0
1,206.0,50.0
0,165.0,38.0
0,171.0,40.0
0,165.0,37.0
0,168.0,38.0
1,180.0,44.0
0,160.0,40.0
1,183.0,44.0
0,160.0,36.5
0,171.0,40.0
0,167.0,39.0
0,172.0,37.0
0,163.0,38.0
0,173.0,38.0
1,187.0,44.0
0,176.0,40.0
1,180.0,42.0
0,171.5,39.0
0,168.0,36.0
0,175.0,39.0
1,185.0,42.0
1,205.0,48.0
0,165.0,36.0
1,175.0,42.0
1,175.0,42.0
1,172.0,41.0
0,156.0,36.0
0,168.0,38.0
0,163.0,37.0
0,163.0,38.0
0,173.0,38.0
0,169.0,39.0
0,178.0,39.0
0,170.0,38.0
0,168.0,38.0
0,170.0,39.0
0,173.0,40.0
0,171.0,40.0
0,163.0,38.0
0,166.0,38.0
0,159.0,38.0
0,178.0,41.0
1,178.0,44.0
0,169.0,40.0
0,158.0,37.0
0,170.0,39.0
0,183.0,39.0
0,173.0,40.0
0,160.0,37.0
0,168.0,39.0
